"﻿SIGLA";"NOMBRE PROYECTO";"TIPO INNOVACION";"año";"conv";"SEMESTRE";"FRENTE";"multi";"CODIGO CURSO";"CURSO";"PROG CURSO";"DEPTO CURSO";"FAC CURSO";"CRN";"SECC";"PERIOD";"SUB PER";"FASE ACOMPAÑAMIENTO PED";"NOMBRE PROFESOR";"CORREO PROFESOR";
"CTE-1155";"Proyecto Cte-1156";"CURSO BLENDED";"2018";"2017";"201810";"1IP";"SI";"COD1157";"Curso1154";"LENGUAS Y CULTURA";"LENGUAJES Y ESTUDIOS SOCIOCULT";"CIENCIAS SOCIALES";"CRN-18149";"3";"201819";"1";"IMPLEMENTACION";"Nombre profesor790";"Login profesor789";
"CTE-1155";"Proyecto Cte-1156";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1157";"Curso1154";"LENGUAS Y CULTURA";"LENGUAJES Y ESTUDIOS SOCIOCULT";"CIENCIAS SOCIALES";"CRN-18374";"1";"201820";"8A";"IMPLEMENTACION";"Nombre profesor1128";"Login profesor1127";
"CTE-1155";"Proyecto Cte-1156";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1157";"Curso1154";"LENGUAS Y CULTURA";"LENGUAJES Y ESTUDIOS SOCIOCULT";"CIENCIAS SOCIALES";"CRN-18375";"2";"201820";"8A";"IMPLEMENTACION";"Nombre profesor1131";"Login profesor1130";
"CTE-1155";"Proyecto Cte-1156";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1157";"Curso1154";"LENGUAS Y CULTURA";"LENGUAJES Y ESTUDIOS SOCIOCULT";"CIENCIAS SOCIALES";"CRN-18376";"3";"201820";"8A";"IMPLEMENTACION";"Nombre profesor1079";"Login profesor1078";
"CTE-1155";"Proyecto Cte-1156";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1157";"Curso1154";"LENGUAS Y CULTURA";"LENGUAJES Y ESTUDIOS SOCIOCULT";"CIENCIAS SOCIALES";"CRN-18377";"4";"201820";"8A";"IMPLEMENTACION";"Nombre profesor17224";"Login profesor17223";
"CTE-1155";"Proyecto Cte-1156";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1157";"Curso1154";"LENGUAS Y CULTURA";"LENGUAJES Y ESTUDIOS SOCIOCULT";"CIENCIAS SOCIALES";"CRN-18379";"6";"201820";"8A";"IMPLEMENTACION";"Nombre profesor17224";"Login profesor17223";
"CTE-1155";"Proyecto Cte-1156";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1157";"Curso1154";"LENGUAS Y CULTURA";"LENGUAJES Y ESTUDIOS SOCIOCULT";"CIENCIAS SOCIALES";"CRN-18380";"7";"201820";"8A";"IMPLEMENTACION";"Nombre profesor1098";"Login profesor1097";
"CTE-1155";"Proyecto Cte-1156";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1157";"Curso1154";"LENGUAS Y CULTURA";"LENGUAJES Y ESTUDIOS SOCIOCULT";"CIENCIAS SOCIALES";"CRN-18381";"8";"201820";"8A";"IMPLEMENTACION";"Nombre profesor1339";"Login profesor1338";
"CTE-1155";"Proyecto Cte-1156";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1157";"Curso1154";"LENGUAS Y CULTURA";"LENGUAJES Y ESTUDIOS SOCIOCULT";"CIENCIAS SOCIALES";"CRN-18382";"9";"201820";"8A";"IMPLEMENTACION";"Nombre profesor1092";"Login profesor1091";
"CTE-1155";"Proyecto Cte-1156";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1157";"Curso1154";"LENGUAS Y CULTURA";"LENGUAJES Y ESTUDIOS SOCIOCULT";"CIENCIAS SOCIALES";"CRN-18383";"10";"201820";"8A";"IMPLEMENTACION";"Nombre profesor17204";"Login profesor17203";
"CTE-1155";"Proyecto Cte-1156";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1157";"Curso1154";"LENGUAS Y CULTURA";"LENGUAJES Y ESTUDIOS SOCIOCULT";"CIENCIAS SOCIALES";"CRN-18384";"11";"201820";"8B";"IMPLEMENTACION";"Nombre profesor1108";"Login profesor1107";
"CTE-1155";"Proyecto Cte-1156";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1157";"Curso1154";"LENGUAS Y CULTURA";"LENGUAJES Y ESTUDIOS SOCIOCULT";"CIENCIAS SOCIALES";"CRN-18385";"13";"201820";"8B";"IMPLEMENTACION";"Nombre profesor1095";"Login profesor1094";
"CTE-1155";"Proyecto Cte-1156";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1157";"Curso1154";"LENGUAS Y CULTURA";"LENGUAJES Y ESTUDIOS SOCIOCULT";"CIENCIAS SOCIALES";"CRN-18378";"14";"201820";"8B";"IMPLEMENTACION";"Nombre profesor17224";"Login profesor17223";
"CTE-1155";"Proyecto Cte-1156";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1157";"Curso1154";"LENGUAS Y CULTURA";"LENGUAJES Y ESTUDIOS SOCIOCULT";"CIENCIAS SOCIALES";"CRN-18386";"15";"201820";"8B";"IMPLEMENTACION";"Nombre profesor1098";"Login profesor1097";
"CTE-1155";"Proyecto Cte-1156";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1157";"Curso1154";"LENGUAS Y CULTURA";"LENGUAJES Y ESTUDIOS SOCIOCULT";"CIENCIAS SOCIALES";"CRN-18388";"16";"201820";"8B";"IMPLEMENTACION";"Nombre profesor17204";"Login profesor17203";
"CTE-1155";"Proyecto Cte-1156";"CURSO BLENDED";"2018";"2017";"201820";"1IP";"SI";"COD1157";"Curso1154";"LENGUAS Y CULTURA";"LENGUAJES Y ESTUDIOS SOCIOCULT";"CIENCIAS SOCIALES";"CRN-18387";"17";"201820";"8B";"IMPLEMENTACION";"Nombre profesor1899";"Login profesor1898";
